,platform,sent_bps,received_bps,cpu_client,cpu_server
0,kvm,941081051.419195,944223777.454536,12.687589642164818,53.66202856658828
1,kvm,941325003.2811027,944483415.2748772,12.591163988845253,89.60146925871804
2,kvm,941307548.4334126,944323984.4660543,10.785771172549973,94.01713404660285
3,kvm,927854223.6813358,930915239.5458053,12.925934276911862,90.5867531855148
4,kvm,938959994.5697198,941979823.9109685,13.414828161334777,90.57688385706882
5,kvm,940814083.321577,943955902.57198,12.301404723513421,92.90561348614033
6,kvm,938472132.087478,941592175.8603427,13.025946017253373,92.33990513118475
7,kvm,930217858.69444,933709975.8990747,12.953369946159704,96.9742114532881
8,kvm,941246761.0874294,944391750.237124,12.436166749933765,98.37260328566177
9,kvm,941142924.4831812,944315901.2200693,12.79269485140092,93.1167037107255
10,gvisor,827843857.5212257,830435739.5040486,14.270116377803307,80.80814522190207
11,gvisor,854522599.8262178,857498352.163018,13.629099154371064,80.3846910493589
12,gvisor,867486755.28808,869247115.7209532,10.544767220403605,79.84760854918986
13,gvisor,850274435.156584,852200441.279294,12.9353872605806,83.91444752651203
14,gvisor,885889491.1674476,889209626.4989218,10.307260728050878,77.40237625295097
15,gvisor,865730244.7705168,867753270.4194403,12.436101272339076,81.73625730772915
16,gvisor,902027621.545945,904380218.065514,10.115650802421428,78.49432132981947
17,gvisor,897097758.3091785,899392102.8984386,9.976113248798994,79.6683165685869
18,gvisor,903504587.5716907,905910200.3591986,10.135184488141794,80.00026301456333
19,gvisor,895602699.667483,897594887.8558476,10.006388833988836,76.8133402953518
20,docker,935513946.455662,938262780.8642136,18.356324975189413,67.0895947888727
21,docker,933362465.5320936,936516673.339976,18.14894829537879,67.2169176503769
22,docker,941262957.6544105,944488546.1251986,17.886229318673514,68.09846945654944
23,docker,941232292.3217717,944454159.0008502,17.82122606317458,68.0883356062432
24,docker,940913602.7477832,944526962.1460757,17.729396699731687,68.12127262564994
25,docker,941350533.2319082,944507161.932095,17.762967855402987,68.05126960172954
26,docker,941196152.6950866,944355978.5236408,17.7835527344892,67.95352407648093
27,docker,940906371.1326838,944513898.4291524,17.771701927599434,68.1611101517468
28,docker,940982659.6644528,944137135.7531556,17.94125748984196,68.0292331464712
29,docker,941368666.657737,944518947.813999,17.70935616915932,68.07489414885094
30,metal,941119330.238591,944280281.044234,15.953811515380888,28.66252153693495
31,metal,936769938.524285,939934874.569326,17.04775932429268,43.6203928085669
32,metal,941358245.3075635,944506230.4306856,14.845291123250027,43.96362955846943
33,metal,941200146.1400096,944358005.8987917,15.01036121726211,44.74300471772414
34,metal,940645026.196851,943799110.882134,14.890521688311182,44.4342808957103
35,metal,941327233.5736308,944368500.8522964,14.94462700376723,44.5916429681092
36,metal,941226668.2875094,944282464.3289105,14.617839354139841,41.8871164889753
37,metal,940960559.8328115,944062639.8371364,15.064748763761843,41.84719624405047
38,metal,941340844.358579,944470817.4108938,16.2605650182611,44.79076356073753
39,metal,938123451.4885203,941252155.864436,15.19489587735329,41.76927255906504
40,firecracker,894381695.977648,897531256.3437183,11.224404147376474,52.890793414421076
41,firecracker,924935133.3971332,928430249.126726,9.76132488067243,56.85550698964031
42,firecracker,933942777.9573042,936983686.8456768,7.598992563746985,89.40847182516163
43,firecracker,919966937.3799807,924554075.458295,5.27655720370527,85.8401086038205
44,firecracker,939911893.8433895,943073557.423462,7.83159697222938,86.78267551453872
45,firecracker,927921013.466449,933024848.554605,7.28228760935564,95.40735850371195
46,firecracker,917716440.0900215,921629848.072261,5.06945221687479,92.59801533421258
47,firecracker,909440314.8877758,915169507.3067244,4.1829129145154065,94.1045651182778
48,firecracker,932208489.43899,935370851.97287,7.054374088428698,84.36495564032217
49,firecracker,918539178.6321504,921282967.630491,4.52796487559741,87.9454119752103
