platform,jitter_ms,bps,lost_percent,cpu_client,cpu_server
firecracker,0.039666623874639054,1049484.6876251532,0,3.481775027655212,0.4229470951464241
firecracker,0.03827931915488906,1049477.131574929,0,3.790293655918094,0.5862953426244167
firecracker,0.025896657207283624,1049475.0326913984,0,3.7862089319984955,0.6059614980068183
firecracker,0.03545374078049044,1049473.563477922,0,4.428358854394085,0.5949971468912488
firecracker,0.047514651946005175,1049474.6129156996,0,4.143446473912,0.6155927957972424
firecracker,0.02263279216124003,1049471.7794385166,0,4.391402270613697,0.6091548874101337
firecracker,0.10314252178359191,1049468.3163205155,0,4.3366356739936975,0.5917094807442933
firecracker,0.02616336955533954,1049473.03875982,0,3.454375833540287,0.6207026893690533
firecracker,0.033959642365378184,1049473.563477922,0,4.438403443543735,0.5981749124549678
firecracker,0.04703820101053982,1049485.7370851785,0,4.42357835897607,0.6054148041423034
kvm,0.033788132324300335,1049473.563477922,0,3.02951473060245,0.3917919961923056
kvm,0.01548527277493959,1049472.1992119488,0,4.28294709020248,0.553045981321534
kvm,0.015924991231156985,1049481.3293671764,0,4.657414897131828,0.550686639555244
kvm,0.025164559308288342,1049479.0205772847,0,4.5656372440997215,0.553075743546959
kvm,0.014233077999136423,1049491.8239947152,0,4.6610841553241,0.5515305551699702
kvm,0.02910945133085597,1049482.3788204857,0,4.67556859979387,0.551780327913342
kvm,0.02215922063264791,1049473.8783090347,0,4.54341060687185,0.5556948845672167
kvm,0.03259183027454007,1049473.563477922,0,3.7979897874422477,0.5575974865158054
kvm,0.02271630520355103,1049475.9771879483,0,3.3978021758359276,0.553952009971954
kvm,0.11178609501281793,1049495.916956346,0,3.56922451445892,0.5562991613357365
docker,0.015926206322694786,1049495.2872678633,0,3.8053072138551434,0.15716563481228263
docker,0.019130926465277635,1049480.6996961986,0,4.58816865216306,0.14738300133493817
docker,0.019316842628848665,1049474.1931403368,0,4.582385417628574,0.14897109076850165
docker,0.03102226652241367,1049473.7733653095,0,4.626202250827304,0.14090344962123222
docker,0.022977305192052,1049479.7551911485,0,4.371641060420985,0.15057112462691466
docker,0.02520516135296824,1049501.4792374265,0,4.578457437372303,0.14675272061802383
docker,0.026710678416722488,1049473.3535906181,0,3.9339928781947435,0.13172171154002937
docker,0.027849222613225755,1049476.9216861983,0,3.700312950255781,0.14634266429363577
docker,0.03905226489605922,1049463.384040395,0,3.81343820298386,0.1482670097533387
docker,0.01849292242415117,1049474.2980841459,0,3.42582838775963,0.13779432745688092
gvisor,0.02376729287643092,1049482.7986023966,0,3.5755040091185872,0.599034416424166
gvisor,0.02420441026719772,1049472.4090987905,0,4.46251082777138,0.09978667604395323
gvisor,0.07096935952752653,1049474.1931403368,0,4.662896043143934,0.09970857178638276
gvisor,0.019407634724137212,1049466.9520681845,0,4.5577973832348055,0.0
gvisor,0.014128765085361476,1049474.1931403368,0,4.607529871628305,0.0
gvisor,0.07411642506162283,1049475.1376353754,0,4.59113462951026,0.0
gvisor,0.021670161045639222,1049474.8228035069,0,4.59843542062512,2.594450470443721
gvisor,0.02861240432923796,1049473.2486469978,0,4.6090985724486435,2.5944577194197755
gvisor,0.026779076355580966,1049467.89655019,0,4.5677251069975,0.0997916051908799
gvisor,0.01641138125392245,1049503.3683274323,0,4.536277950590524,0.19959826856485952
metal,0.026515063718566087,1049483.848058644,0,3.232257485791984,0.07990789825614718
metal,0.043469774657382027,1049485.00246294,0,3.360762192322178,0.12588580487400944
metal,0.04221263086163293,1049479.6502462479,0,1.7910832883459713,0.12920443933815193
metal,0.0300725324905061,1049478.7057430865,0,3.143518160932754,0.115347277021793
metal,0.0570852190194168,1049494.5526322552,0,4.037484784472382,0.11666045400924654
metal,0.015854398643791515,1049473.7733653095,0,4.154060262318469,0.11596907650906443
metal,0.022084634320218694,1049471.9893251907,0,4.30323328633246,0.11573771545063084
metal,0.0329466984988823,1049473.7733653095,0,3.759168035248909,0.115390463768891
metal,0.026670305941130422,1049474.1931403368,0,3.750383633962781,0.11649885616402272
metal,0.0327996524530948,1049473.8783090347,0,3.9635076267964657,0.11763855625861341
